"report_date","location","location_type","data_field","data_field_code","time_period","time_period_type","value","unit"
"2016-01-09","Dominican_Republic","country","total_zika_new_suspected","DO0001",NA,NA,0,"cases"
"2016-01-16","Dominican_Republic","country","total_zika_new_suspected","DO0001",NA,NA,0,"cases"
"2016-01-23","Dominican_Republic","country","total_zika_new_suspected","DO0001",NA,NA,27,"cases"
"2016-01-23","Dominican_Republic","country","total_zika_new_confirmed_pcr","DO0002",NA,NA,10,"cases"
"2016-01-30","Dominican_Republic","country","total_zika_new_suspected","DO0001",NA,NA,32,"cases"
"2016-01-30","Dominican_Republic-Distrito_Nacional","municipality","total_zika_new_suspected","DO0001",NA,NA,8,"cases"
"2016-01-30","Dominican_Republic-Jimani_de_Independencia","municipality","total_zika_new_suspected","DO0001",NA,NA,14,"cases"
"2016-01-30","Dominican_Republic-Santo_Domingo_Norte","municipality","total_zika_new_suspected","DO0001",NA,NA,3,"cases"
"2016-01-30","Dominican_Republic-Santa_Cruz-Barahona","municipality","total_zika_new_suspected","DO0001",NA,NA,7,"cases"
"2016-02-06","Dominican_Republic","country","total_zika_new_suspected","DO0001",NA,NA,87,"cases"
"2016-02-06","Dominican_Republic","country","total_zika_new_confirmed_pcr","DO0002",NA,NA,8,"cases"
"2016-02-06","Dominican_Republic-Santo_Domingo_Este","municipality","total_zika_new_confirmed_pcr","DO0002",NA,NA,4,"cases"
"2016-02-06","Dominican_Republic-Santo_Domingo_Oeste","municipality","total_zika_new_confirmed_pcr","DO0002",NA,NA,1,"cases"
"2016-02-06","Dominican_Republic-Santiago-Caballeros","municipality","total_zika_new_confirmed_pcr","DO0002",NA,NA,1,"cases"
"2016-02-06","Dominican_Republic-Luperon-Puerto_Plata","municipality","total_zika_new_confirmed_pcr","DO0002",NA,NA,1,"cases"
"2016-02-06","Dominican_Republic-Azua-Compostela","municipality","total_zika_new_confirmed_pcr","DO0002",NA,NA,1,"cases"
"2016-02-06","Dominican_Republic","country","zika_new_confirmed_pcr_f","DO0004",NA,NA,6,"cases"
"2016-02-06","Dominican_Republic","country","zika_new_confirmed_pcr_m","DO0003",NA,NA,2,"cases"
"2016-02-06","Dominican_Republic","country","efe_reported","DO0009",NA,NA,32,"cases"
"2016-02-13","Dominican_Republic","country","total_zika_new_suspected","DO0001",NA,NA,82,"cases"
"2016-02-13","Dominican_Republic-Distrito_Nacional","province","total_zika_new_suspected","DO0001",NA,NA,33,"cases"
"2016-02-13","Dominican_Republic-Santo_Domingo","province","total_zika_new_suspected","DO0001",NA,NA,40,"cases"
"2016-02-13","Dominican_Republic-Independencia","province","total_zika_new_suspected","DO0001",NA,NA,4,"cases"
"2016-02-13","Dominican_Republic-Barahona","province","total_zika_new_suspected","DO0001",NA,NA,2,"cases"
"2016-02-13","Dominican_Republic-Puerto_Plata","province","total_zika_new_suspected","DO0001",NA,NA,2,"cases"
"2016-02-13","Dominican_Republic-Santiago","province","total_zika_new_suspected","DO0001",NA,NA,1,"cases"
"2016-02-13","Dominican_Republic","country","total_zika_new_confirmed_pcr","DO0002",NA,NA,8,"cases"
"2016-02-13","Dominican_Republic","country","zika_new_confirmed_pcr_f","DO0004",NA,NA,6,"cases"
"2016-02-13","Dominican_Republic","country","zika_new_confirmed_pcr_m","DO0003",NA,NA,2,"cases"
"2016-02-13","Dominican_Republic","country","zika_suspected_cumulative","DO0005",NA,NA,305,"cases"
"2016-02-13","Dominican_Republic","country","zika_suspected_pregnant_cumulative","DO0007",NA,NA,11,"cases"
"2016-02-13","Dominican_Republic","country","zika_confirmed_pcr_cumulative","DO0006",NA,NA,18,"cases"
"2016-02-20","Dominican_Republic","country","total_zika_new_suspected","DO0001",NA,NA,90,"cases"
"2016-02-20","Dominican_Republic-Distrito_Nacional","province","total_zika_new_suspected","DO0001",NA,NA,30,"cases"
"2016-02-20","Dominican_Republic-Santo_Domingo","province","total_zika_new_suspected","DO0001",NA,NA,32,"cases"
"2016-02-20","Dominican_Republic-Azua","province","total_zika_new_suspected","DO0001",NA,NA,5,"cases"
"2016-02-20","Dominican_Republic-Independencia","province","total_zika_new_suspected","DO0001",NA,NA,4,"cases"
"2016-02-20","Dominican_Republic-Barahona","province","total_zika_new_suspected","DO0001",NA,NA,1,"cases"
"2016-02-20","Dominican_Republic-Puerto_Plata","province","total_zika_new_suspected","DO0001",NA,NA,1,"cases"
"2016-02-20","Dominican_Republic-Other","province","total_zika_new_suspected","DO0001",NA,NA,17,"cases"
"2016-02-20","Dominican_Republic","country","zika_suspected_cumulative","DO0005",NA,NA,395,"cases"
"2016-02-20","Dominican_Republic","country","zika_suspected_pregnant_cumulative","DO0007",NA,NA,27,"cases"
