"report_date","location","location_type","data_field","data_field_code","time_period","time_period_type","value","unit"
2015-12-09,"Guatemala","country","total_zika_suspected","GT0001",NA,NA,2,"cases"
2015-12-09,"Guatemala-Chiquimula","municipality","total_zika_suspected_M","GT0004",NA,NA,1,"cases"
2015-12-09,"Guatemala-Suchitepequez","municipality","total_zika_suspected_F","GT0003",NA,NA,1,"cases"
2015-12-09,"Guatemala","country","total_zika_confirmed","GT0002",NA,NA,29,"cases"
2015-12-09,"Guatemala-Zacapa","municipality","total_zika_confirmed_F","GT0005",NA,NA,7,"cases"
2015-12-09,"Guatemala-Zacapa","municipality","total_zika_confirmed_M","GT0006",NA,NA,15,"cases"
2015-12-09,"Guatemala-Escuintla","municipality","total_zika_confirmed_M","GT0006",NA,NA,7,"cases"
"2015-12-16","Guatemala","country","total_zika_suspected","GT0001",NA,NA,"10","cases"
"2015-12-16","Guatemala-Chiquimula","municipality","total_zika_suspected_F","GT0003",NA,NA,"2","cases"
"2015-12-16","Guatemala-Suchitepequez","municipality","total_zika_suspected_F","GT0003",NA,NA,"2","cases"
"2015-12-16","Guatemala-Zacapa","municipality","total_zika_suspected_M","GT0004",NA,NA,"2","cases"
"2015-12-16","Guatemala-Chiquimula","municipality","total_zika_suspected_M","GT0004",NA,NA,"2","cases"
"2015-12-16","Guatemala-Suchitepequez","municipality","total_zika_suspected_M","GT0004",NA,NA,"1","cases"
"2015-12-16","Guatemala-Jutiapa","municipality","total_zika_suspected_M","GT0004",NA,NA,"1","cases"
"2015-12-16","Guatemala","country","total_zika_confirmed","GT0002",NA,NA,"29","cases"
"2015-12-16","Guatemala-Zacapa","municipality","total_zika_confirmed_F","GT0005",NA,NA,"7","cases"
"2015-12-16","Guatemala-Zacapa","municipality","total_zika_confirmed_M","GT0006",NA,NA,"15","cases"
"2015-12-16","Guatemala-Escuintla","municipality","total_zika_confirmed_M","GT0006",NA,NA,"7","cases"
"2015-12-23","Guatemala","country","total_zika_suspected_cumulative","GT0007",NA,NA,21,"cases"
"2015-12-23","Guatemala-Zacapa","municipality","total_zika_suspected_cumulative","GT0007",NA,NA,7,"cases"
"2015-12-23","Guatemala-Chiquimula","municipality","total_zika_suspected_cumulative","GT0007",NA,NA,6,"cases"
"2015-12-23","Guatemala-Suchitepequez","municipality","total_zika_suspected_cumulative","GT0007",NA,NA,5,"cases"
"2015-12-23","Guatemala-Nor_Oriente","municipality","total_zika_suspected_cumulative","GT0007",NA,NA,2,"cases"
"2015-12-23","Guatemala-Jutiapa","municipality","total_zika_suspected_cumulative","GT0007",NA,NA,1,"cases"
"2015-12-23","Guatemala","country","total_zika_confirmed_cumulative","GT0008",NA,NA,29,"cases"
"2015-12-23","Guatemala-Zacapa","municipality","total_zika_confirmed_cumulative","GT0008",NA,NA,22,"cases"
"2015-12-23","Guatemala-Escuintla","municipality","total_zika_confirmed_cumulative","GT0008",NA,NA,7,"cases"
2015-12-29,"Guatemala","country","total_zika_suspected_cumulative","GT0007",NA,NA,21,"cases"
2015-12-29,"Guatemala-Chiquimula","municipality","total_zika_suspected_cumulative","GT0007",NA,NA,6,"cases"
2015-12-29,"Guatemala-Nor_Oriente","municipality","total_zika_suspected_cumulative","GT0007",NA,NA,2,"cases"
2015-12-29,"Guatemala-Jutiapa","municipality","total_zika_suspected_cumulative","GT0007",NA,NA,1,"cases"
2015-12-29,"Guatemala-Suchitepequez","municipality","total_zika_suspected_cumulative","GT0007",NA,NA,5,"cases"
2015-12-29,"Guatemala-Zacapa","municipality","total_zika_suspected_cumulative","GT0007",NA,NA,7,"cases"
2015-12-29,"Guatemala","country","total_zika_confirmed_cumulative","GT0008",NA,NA,29,"cases"
2015-12-29,"Guatemala-Escuintla","municipality","total_zika_confirmed_cumulative","GT0008",NA,NA,7,"cases"
2015-12-29,"Guatemala-Zacapa","municipality","total_zika_confirmed_cumulative","GT0008",NA,NA,22,"cases"
"2016-01-14","Guatemala","country","total_zika_confirmed_cumulative","GT0008",NA,NA,68,"cases"
"2016-01-14","Guatemala","country","total_zika_suspected_cumulative","GT0007",NA,NA,200,"cases"
"2016-01-14","Guatemala-Zacapa","municipality","total_zika_suspected_cumulative","GT0007",NA,NA,167,"cases"
"2016-01-14","Guatemala-Izabal","municipality","total_zika_suspected_cumulative","GT0007",NA,NA,8,"cases"
"2016-01-14","Guatemala-Jalapa","municipality","total_zika_suspected_cumulative","GT0007",NA,NA,4,"cases"
"2016-01-14","Guatemala-Quetzaltenango","municipality","total_zika_suspected_cumulative","GT0007",NA,NA,7,"cases"
"2016-01-14","Guatemala-Escuintla","municipality","total_zika_suspected_cumulative","GT0007",NA,NA,6,"cases"
"2016-01-14","Guatemala-Suchitepequez","municipality","total_zika_suspected_cumulative","GT0007",NA,NA,3,"cases"
"2016-01-14","Guatemala-Peten_Norte","municipality","total_zika_suspected_cumulative","GT0007",NA,NA,1,"cases"
