report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,value,unit
2016-01-16,Mexico-Aguascalientes,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases
2016-01-16,Mexico-Baja_California,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases
2016-01-16,Mexico-Baja_California_Sur,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases
2016-01-16,Mexico-Campeche,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases
2016-01-16,Mexico-Chiapas,state,weekly_zika_confirmed,MX0001,NA,NA,3,cases
2016-01-16,Mexico-Chihuahua,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases
2016-01-16,Mexico-Coahuila_de_Zaragoza,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases
2016-01-16,Mexico-Colima,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases
2016-01-16,Mexico-Distrito_Federal,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases
2016-01-16,Mexico-Durango,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases
2016-01-16,Mexico-Guanajuato,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases
2016-01-16,Mexico-Guerrero,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases
2016-01-16,Mexico-Hidalgo,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases
2016-01-16,Mexico-Jalisco,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases
2016-01-16,Mexico-Mexico,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases
2016-01-16,Mexico-Michoacan_de_Ocampo,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases
2016-01-16,Mexico-Morelos,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases
2016-01-16,Mexico-Nayarit,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases
2016-01-16,Mexico-Nuevo_Leon,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases
2016-01-16,Mexico-Oaxaca,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases
2016-01-16,Mexico-Puebla,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases
2016-01-16,Mexico-Queretaro_de_Arteaga,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases
2016-01-16,Mexico-Quintana_Roo,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases
2016-01-16,Mexico-San_Luis_Potosi,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases
2016-01-16,Mexico-Sinaloa,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases
2016-01-16,Mexico-Sonora,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases
2016-01-16,Mexico-Tabasco,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases
2016-01-16,Mexico-Tamaulipas,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases
2016-01-16,Mexico-Tlaxcala,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases
2016-01-16,Mexico-Veracruz_de_Ignacio_de_la_Llave,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases
2016-01-16,Mexico-Yucatan,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases
2016-01-16,Mexico-Zacatecas,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases
2016-01-16,Mexico-Aguascalientes,state,yearly_cumulative_female,MX0002,NA,NA,0,cases
2016-01-16,Mexico-Baja_California,state,yearly_cumulative_female,MX0002,NA,NA,0,cases
2016-01-16,Mexico-Baja_California_Sur,state,yearly_cumulative_female,MX0002,NA,NA,0,cases
2016-01-16,Mexico-Campeche,state,yearly_cumulative_female,MX0002,NA,NA,0,cases
2016-01-16,Mexico-Chiapas,state,yearly_cumulative_female,MX0002,NA,NA,2,cases
2016-01-16,Mexico-Chihuahua,state,yearly_cumulative_female,MX0002,NA,NA,0,cases
2016-01-16,Mexico-Coahuila_de_Zaragoza,state,yearly_cumulative_female,MX0002,NA,NA,0,cases
2016-01-16,Mexico-Colima,state,yearly_cumulative_female,MX0002,NA,NA,0,cases
2016-01-16,Mexico-Distrito_Federal,state,yearly_cumulative_female,MX0002,NA,NA,0,cases
2016-01-16,Mexico-Durango,state,yearly_cumulative_female,MX0002,NA,NA,0,cases
2016-01-16,Mexico-Guanajuato,state,yearly_cumulative_female,MX0002,NA,NA,0,cases
2016-01-16,Mexico-Guerrero,state,yearly_cumulative_female,MX0002,NA,NA,0,cases
2016-01-16,Mexico-Hidalgo,state,yearly_cumulative_female,MX0002,NA,NA,0,cases
2016-01-16,Mexico-Jalisco,state,yearly_cumulative_female,MX0002,NA,NA,0,cases
2016-01-16,Mexico-Mexico,state,yearly_cumulative_female,MX0002,NA,NA,0,cases
2016-01-16,Mexico-Michoacan_de_Ocampo,state,yearly_cumulative_female,MX0002,NA,NA,0,cases
2016-01-16,Mexico-Morelos,state,yearly_cumulative_female,MX0002,NA,NA,0,cases
2016-01-16,Mexico-Nayarit,state,yearly_cumulative_female,MX0002,NA,NA,0,cases
2016-01-16,Mexico-Nuevo_Leon,state,yearly_cumulative_female,MX0002,NA,NA,0,cases
2016-01-16,Mexico-Oaxaca,state,yearly_cumulative_female,MX0002,NA,NA,0,cases
2016-01-16,Mexico-Puebla,state,yearly_cumulative_female,MX0002,NA,NA,0,cases
2016-01-16,Mexico-Queretaro_de_Arteaga,state,yearly_cumulative_female,MX0002,NA,NA,0,cases
2016-01-16,Mexico-Quintana_Roo,state,yearly_cumulative_female,MX0002,NA,NA,0,cases
2016-01-16,Mexico-San_Luis_Potosi,state,yearly_cumulative_female,MX0002,NA,NA,0,cases
2016-01-16,Mexico-Sinaloa,state,yearly_cumulative_female,MX0002,NA,NA,0,cases
2016-01-16,Mexico-Sonora,state,yearly_cumulative_female,MX0002,NA,NA,0,cases
2016-01-16,Mexico-Tabasco,state,yearly_cumulative_female,MX0002,NA,NA,0,cases
2016-01-16,Mexico-Tamaulipas,state,yearly_cumulative_female,MX0002,NA,NA,0,cases
2016-01-16,Mexico-Tlaxcala,state,yearly_cumulative_female,MX0002,NA,NA,0,cases
2016-01-16,Mexico-Veracruz_de_Ignacio_de_la_Llave,state,yearly_cumulative_female,MX0002,NA,NA,0,cases
2016-01-16,Mexico-Yucatan,state,yearly_cumulative_female,MX0002,NA,NA,0,cases
2016-01-16,Mexico-Zacatecas,state,yearly_cumulative_female,MX0002,NA,NA,0,cases
2016-01-16,Mexico-Aguascalientes,state,yearly_cumulative_male,MX0003,NA,NA,0,cases
2016-01-16,Mexico-Baja_California,state,yearly_cumulative_male,MX0003,NA,NA,0,cases
2016-01-16,Mexico-Baja_California_Sur,state,yearly_cumulative_male,MX0003,NA,NA,0,cases
2016-01-16,Mexico-Campeche,state,yearly_cumulative_male,MX0003,NA,NA,0,cases
2016-01-16,Mexico-Chiapas,state,yearly_cumulative_male,MX0003,NA,NA,1,cases
2016-01-16,Mexico-Chihuahua,state,yearly_cumulative_male,MX0003,NA,NA,0,cases
2016-01-16,Mexico-Coahuila_de_Zaragoza,state,yearly_cumulative_male,MX0003,NA,NA,0,cases
2016-01-16,Mexico-Colima,state,yearly_cumulative_male,MX0003,NA,NA,0,cases
2016-01-16,Mexico-Distrito_Federal,state,yearly_cumulative_male,MX0003,NA,NA,0,cases
2016-01-16,Mexico-Durango,state,yearly_cumulative_male,MX0003,NA,NA,0,cases
2016-01-16,Mexico-Guanajuato,state,yearly_cumulative_male,MX0003,NA,NA,0,cases
2016-01-16,Mexico-Guerrero,state,yearly_cumulative_male,MX0003,NA,NA,0,cases
2016-01-16,Mexico-Hidalgo,state,yearly_cumulative_male,MX0003,NA,NA,0,cases
2016-01-16,Mexico-Jalisco,state,yearly_cumulative_male,MX0003,NA,NA,0,cases
2016-01-16,Mexico-Mexico,state,yearly_cumulative_male,MX0003,NA,NA,0,cases
2016-01-16,Mexico-Michoacan_de_Ocampo,state,yearly_cumulative_male,MX0003,NA,NA,0,cases
2016-01-16,Mexico-Morelos,state,yearly_cumulative_male,MX0003,NA,NA,0,cases
2016-01-16,Mexico-Nayarit,state,yearly_cumulative_male,MX0003,NA,NA,0,cases
2016-01-16,Mexico-Nuevo_Leon,state,yearly_cumulative_male,MX0003,NA,NA,0,cases
2016-01-16,Mexico-Oaxaca,state,yearly_cumulative_male,MX0003,NA,NA,0,cases
2016-01-16,Mexico-Puebla,state,yearly_cumulative_male,MX0003,NA,NA,0,cases
2016-01-16,Mexico-Queretaro_de_Arteaga,state,yearly_cumulative_male,MX0003,NA,NA,0,cases
2016-01-16,Mexico-Quintana_Roo,state,yearly_cumulative_male,MX0003,NA,NA,0,cases
2016-01-16,Mexico-San_Luis_Potosi,state,yearly_cumulative_male,MX0003,NA,NA,0,cases
2016-01-16,Mexico-Sinaloa,state,yearly_cumulative_male,MX0003,NA,NA,0,cases
2016-01-16,Mexico-Sonora,state,yearly_cumulative_male,MX0003,NA,NA,0,cases
2016-01-16,Mexico-Tabasco,state,yearly_cumulative_male,MX0003,NA,NA,0,cases
2016-01-16,Mexico-Tamaulipas,state,yearly_cumulative_male,MX0003,NA,NA,0,cases
2016-01-16,Mexico-Tlaxcala,state,yearly_cumulative_male,MX0003,NA,NA,0,cases
2016-01-16,Mexico-Veracruz_de_Ignacio_de_la_Llave,state,yearly_cumulative_male,MX0003,NA,NA,0,cases
2016-01-16,Mexico-Yucatan,state,yearly_cumulative_male,MX0003,NA,NA,0,cases
2016-01-16,Mexico-Zacatecas,state,yearly_cumulative_male,MX0003,NA,NA,0,cases
"2016-02-13","Mexico-Aguascalientes","state","weekly_zika_confirmed","MX0001",NA,NA,0,"cases"
"2016-02-13","Mexico-Baja_California","state","weekly_zika_confirmed","MX0001",NA,NA,0,"cases"
"2016-02-13","Mexico-Baja_California_Sur","state","weekly_zika_confirmed","MX0001",NA,NA,0,"cases"
"2016-02-13","Mexico-Campeche","state","weekly_zika_confirmed","MX0001",NA,NA,0,"cases"
"2016-02-13","Mexico-Chiapas","state","weekly_zika_confirmed","MX0001",NA,NA,9,"cases"
"2016-02-13","Mexico-Chihuahua","state","weekly_zika_confirmed","MX0001",NA,NA,0,"cases"
"2016-02-13","Mexico-Coahuila_de_Zaragoza","state","weekly_zika_confirmed","MX0001",NA,NA,0,"cases"
"2016-02-13","Mexico-Colima","state","weekly_zika_confirmed","MX0001",NA,NA,0,"cases"
"2016-02-13","Mexico-Distrito_Federal","state","weekly_zika_confirmed","MX0001",NA,NA,0,"cases"
"2016-02-13","Mexico-Durango","state","weekly_zika_confirmed","MX0001",NA,NA,0,"cases"
"2016-02-13","Mexico-Guanajuato","state","weekly_zika_confirmed","MX0001",NA,NA,0,"cases"
"2016-02-13","Mexico-Guerrero","state","weekly_zika_confirmed","MX0001",NA,NA,1,"cases"
"2016-02-13","Mexico-Hidalgo","state","weekly_zika_confirmed","MX0001",NA,NA,0,"cases"
"2016-02-13","Mexico-Jalisco","state","weekly_zika_confirmed","MX0001",NA,NA,0,"cases"
"2016-02-13","Mexico-Mexico","state","weekly_zika_confirmed","MX0001",NA,NA,0,"cases"
"2016-02-13","Mexico-Michoacan_de_Ocampo","state","weekly_zika_confirmed","MX0001",NA,NA,1,"cases"
"2016-02-13","Mexico-Morelos","state","weekly_zika_confirmed","MX0001",NA,NA,0,"cases"
"2016-02-13","Mexico-Nayarit","state","weekly_zika_confirmed","MX0001",NA,NA,0,"cases"
"2016-02-13","Mexico-Nuevo_Leon","state","weekly_zika_confirmed","MX0001",NA,NA,0,"cases"
"2016-02-13","Mexico-Oaxaca","state","weekly_zika_confirmed","MX0001",NA,NA,2,"cases"
"2016-02-13","Mexico-Puebla","state","weekly_zika_confirmed","MX0001",NA,NA,0,"cases"
"2016-02-13","Mexico-Queretaro_de_Arteaga","state","weekly_zika_confirmed","MX0001",NA,NA,0,"cases"
"2016-02-13","Mexico-Quintana_Roo","state","weekly_zika_confirmed","MX0001",NA,NA,0,"cases"
"2016-02-13","Mexico-San_Luis_Potosi","state","weekly_zika_confirmed","MX0001",NA,NA,0,"cases"
"2016-02-13","Mexico-Sinaloa","state","weekly_zika_confirmed","MX0001",NA,NA,0,"cases"
"2016-02-13","Mexico-Sonora","state","weekly_zika_confirmed","MX0001",NA,NA,0,"cases"
"2016-02-13","Mexico-Tabasco","state","weekly_zika_confirmed","MX0001",NA,NA,0,"cases"
"2016-02-13","Mexico-Tamaulipas","state","weekly_zika_confirmed","MX0001",NA,NA,0,"cases"
"2016-02-13","Mexico-Tlaxcala","state","weekly_zika_confirmed","MX0001",NA,NA,0,"cases"
"2016-02-13","Mexico-Veracruz_de_Ignacio_de_la_Llave","state","weekly_zika_confirmed","MX0001",NA,NA,0,"cases"
"2016-02-13","Mexico-Yucatan","state","weekly_zika_confirmed","MX0001",NA,NA,0,"cases"
"2016-02-13","Mexico-Zacatecas","state","weekly_zika_confirmed","MX0001",NA,NA,0,"cases"
"2016-02-13","Mexico-Aguascalientes","state","yearly_cumulative_female","MX0002",NA,NA,0,"cases"
"2016-02-13","Mexico-Baja_California","state","yearly_cumulative_female","MX0002",NA,NA,0,"cases"
"2016-02-13","Mexico-Baja_California_Sur","state","yearly_cumulative_female","MX0002",NA,NA,0,"cases"
"2016-02-13","Mexico-Campeche","state","yearly_cumulative_female","MX0002",NA,NA,0,"cases"
"2016-02-13","Mexico-Chiapas","state","yearly_cumulative_female","MX0002",NA,NA,32,"cases"
"2016-02-13","Mexico-Chihuahua","state","yearly_cumulative_female","MX0002",NA,NA,0,"cases"
"2016-02-13","Mexico-Coahuila_de_Zaragoza","state","yearly_cumulative_female","MX0002",NA,NA,0,"cases"
"2016-02-13","Mexico-Colima","state","yearly_cumulative_female","MX0002",NA,NA,0,"cases"
"2016-02-13","Mexico-Distrito_Federal","state","yearly_cumulative_female","MX0002",NA,NA,0,"cases"
"2016-02-13","Mexico-Durango","state","yearly_cumulative_female","MX0002",NA,NA,0,"cases"
"2016-02-13","Mexico-Guanajuato","state","yearly_cumulative_female","MX0002",NA,NA,0,"cases"
"2016-02-13","Mexico-Guerrero","state","yearly_cumulative_female","MX0002",NA,NA,2,"cases"
"2016-02-13","Mexico-Hidalgo","state","yearly_cumulative_female","MX0002",NA,NA,0,"cases"
"2016-02-13","Mexico-Jalisco","state","yearly_cumulative_female","MX0002",NA,NA,0,"cases"
"2016-02-13","Mexico-Mexico","state","yearly_cumulative_female","MX0002",NA,NA,0,"cases"
"2016-02-13","Mexico-Michoacan_de_Ocampo","state","yearly_cumulative_female","MX0002",NA,NA,0,"cases"
"2016-02-13","Mexico-Morelos","state","yearly_cumulative_female","MX0002",NA,NA,0,"cases"
"2016-02-13","Mexico-Nayarit","state","yearly_cumulative_female","MX0002",NA,NA,0,"cases"
"2016-02-13","Mexico-Nuevo_Leon","state","yearly_cumulative_female","MX0002",NA,NA,0,"cases"
"2016-02-13","Mexico-Oaxaca","state","yearly_cumulative_female","MX0002",NA,NA,19,"cases"
"2016-02-13","Mexico-Puebla","state","yearly_cumulative_female","MX0002",NA,NA,0,"cases"
"2016-02-13","Mexico-Queretaro_de_Arteaga","state","yearly_cumulative_female","MX0002",NA,NA,0,"cases"
"2016-02-13","Mexico-Quintana_Roo","state","yearly_cumulative_female","MX0002",NA,NA,0,"cases"
"2016-02-13","Mexico-San_Luis_Potosi","state","yearly_cumulative_female","MX0002",NA,NA,0,"cases"
"2016-02-13","Mexico-Sinaloa","state","yearly_cumulative_female","MX0002",NA,NA,0,"cases"
"2016-02-13","Mexico-Sonora","state","yearly_cumulative_female","MX0002",NA,NA,0,"cases"
"2016-02-13","Mexico-Tabasco","state","yearly_cumulative_female","MX0002",NA,NA,0,"cases"
"2016-02-13","Mexico-Tamaulipas","state","yearly_cumulative_female","MX0002",NA,NA,0,"cases"
"2016-02-13","Mexico-Tlaxcala","state","yearly_cumulative_female","MX0002",NA,NA,0,"cases"
"2016-02-13","Mexico-Veracruz_de_Ignacio_de_la_Llave","state","yearly_cumulative_female","MX0002",NA,NA,1,"cases"
"2016-02-13","Mexico-Yucatan","state","yearly_cumulative_female","MX0002",NA,NA,1,"cases"
"2016-02-13","Mexico-Zacatecas","state","yearly_cumulative_female","MX0002",NA,NA,0,"cases"
"2016-02-13","Mexico-Aguascalientes","state","yearly_cumulative_male","MX0003",NA,NA,0,"cases"
"2016-02-13","Mexico-Baja_California","state","yearly_cumulative_male","MX0003",NA,NA,0,"cases"
"2016-02-13","Mexico-Baja_California_Sur","state","yearly_cumulative_male","MX0003",NA,NA,0,"cases"
"2016-02-13","Mexico-Campeche","state","yearly_cumulative_male","MX0003",NA,NA,0,"cases"
"2016-02-13","Mexico-Chiapas","state","yearly_cumulative_male","MX0003",NA,NA,12,"cases"
"2016-02-13","Mexico-Chihuahua","state","yearly_cumulative_male","MX0003",NA,NA,0,"cases"
"2016-02-13","Mexico-Coahuila_de_Zaragoza","state","yearly_cumulative_male","MX0003",NA,NA,0,"cases"
"2016-02-13","Mexico-Colima","state","yearly_cumulative_male","MX0003",NA,NA,0,"cases"
"2016-02-13","Mexico-Distrito_Federal","state","yearly_cumulative_male","MX0003",NA,NA,0,"cases"
"2016-02-13","Mexico-Durango","state","yearly_cumulative_male","MX0003",NA,NA,0,"cases"
"2016-02-13","Mexico-Guanajuato","state","yearly_cumulative_male","MX0003",NA,NA,0,"cases"
"2016-02-13","Mexico-Guerrero","state","yearly_cumulative_male","MX0003",NA,NA,1,"cases"
"2016-02-13","Mexico-Hidalgo","state","yearly_cumulative_male","MX0003",NA,NA,0,"cases"
"2016-02-13","Mexico-Jalisco","state","yearly_cumulative_male","MX0003",NA,NA,0,"cases"
"2016-02-13","Mexico-Mexico","state","yearly_cumulative_male","MX0003",NA,NA,0,"cases"
"2016-02-13","Mexico-Michoacan_de_Ocampo","state","yearly_cumulative_male","MX0003",NA,NA,1,"cases"
"2016-02-13","Mexico-Morelos","state","yearly_cumulative_male","MX0003",NA,NA,0,"cases"
"2016-02-13","Mexico-Nayarit","state","yearly_cumulative_male","MX0003",NA,NA,0,"cases"
"2016-02-13","Mexico-Nuevo_Leon","state","yearly_cumulative_male","MX0003",NA,NA,0,"cases"
"2016-02-13","Mexico-Oaxaca","state","yearly_cumulative_male","MX0003",NA,NA,8,"cases"
"2016-02-13","Mexico-Puebla","state","yearly_cumulative_male","MX0003",NA,NA,0,"cases"
"2016-02-13","Mexico-Queretaro_de_Arteaga","state","yearly_cumulative_male","MX0003",NA,NA,0,"cases"
"2016-02-13","Mexico-Quintana_Roo","state","yearly_cumulative_male","MX0003",NA,NA,0,"cases"
"2016-02-13","Mexico-San_Luis_Potosi","state","yearly_cumulative_male","MX0003",NA,NA,0,"cases"
"2016-02-13","Mexico-Sinaloa","state","yearly_cumulative_male","MX0003",NA,NA,1,"cases"
"2016-02-13","Mexico-Sonora","state","yearly_cumulative_male","MX0003",NA,NA,0,"cases"
"2016-02-13","Mexico-Tabasco","state","yearly_cumulative_male","MX0003",NA,NA,0,"cases"
"2016-02-13","Mexico-Tamaulipas","state","yearly_cumulative_male","MX0003",NA,NA,0,"cases"
"2016-02-13","Mexico-Tlaxcala","state","yearly_cumulative_male","MX0003",NA,NA,0,"cases"
"2016-02-13","Mexico-Veracruz_de_Ignacio_de_la_Llave","state","yearly_cumulative_male","MX0003",NA,NA,0,"cases"
"2016-02-13","Mexico-Yucatan","state","yearly_cumulative_male","MX0003",NA,NA,0,"cases"
"2016-02-13","Mexico-Zacatecas","state","yearly_cumulative_male","MX0003",NA,NA,0,"cases"
2016-02-20,Mexico-Aguascalientes,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases
2016-02-20,Mexico-Baja_California,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases
2016-02-20,Mexico-Baja_California_Sur,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases
2016-02-20,Mexico-Campeche,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases
2016-02-20,Mexico-Chiapas,state,weekly_zika_confirmed,MX0001,NA,NA,3,cases
2016-02-20,Mexico-Chihuahua,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases
2016-02-20,Mexico-Coahuila_de_Zaragoza,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases
2016-02-20,Mexico-Colima,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases
2016-02-20,Mexico-Distrito_Federal,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases
2016-02-20,Mexico-Durango,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases
2016-02-20,Mexico-Guanajuato,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases
2016-02-20,Mexico-Guerrero,state,weekly_zika_confirmed,MX0001,NA,NA,2,cases
2016-02-20,Mexico-Hidalgo,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases
2016-02-20,Mexico-Jalisco,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases
2016-02-20,Mexico-Mexico,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases
2016-02-20,Mexico-Michoacan_de_Ocampo,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases
2016-02-20,Mexico-Morelos,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases
2016-02-20,Mexico-Nayarit,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases
2016-02-20,Mexico-Nuevo_Leon,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases
2016-02-20,Mexico-Oaxaca,state,weekly_zika_confirmed,MX0001,NA,NA,25,cases
2016-02-20,Mexico-Puebla,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases
2016-02-20,Mexico-Queretaro_de_Arteaga,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases
