report_date,location,location_type,data_field,data_field_code,time_period_year,time_period_week,value,unit
2016-01-27,Puerto_Rico,territory,zika_confirmed_2weeks,PR0001,NA,NA,15,cases
2016-01-27,Puerto_Rico,territory,zika_confirmed_cumulative_2016,PR0003,NA,NA,9,cases
2016-01-27,Puerto_Rico,territory,flavi_confirmed_cumulative_2016,PR0005,NA,NA,0,cases
2016-01-27,Puerto_Rico,territory,zika_confirmed_cumulative_2015-2016,PR0006,NA,NA,18,cases
2016-01-27,Puerto_Rico,territory,zika_confirmed_pregnant_cumulative_2015-2016,PR0007,NA,NA,0,cases
2016-01-27,Puerto_Rico,territory,zika_confirmed_pregnant_symptomatic_cumulative_2015-2016,PR0008,NA,NA,0,cases
2016-01-27,Puerto_Rico,territory,zika_confirmed_pregnant_asymptomatic_cumulative_2015-2016,PR0009,NA,NA,0,cases
2016-01-27,Puerto_Rico,territory,GBS_reported_cumulative_2015-2016,PR0010,NA,NA,0,cases
2016-01-27,Puerto_Rico,territory,arbovirus_suspected_2weeks,PR0011,NA,NA,174,cases
2016-01-27,Puerto_Rico,territory,arbovirus_suspected_cumulative_2015,PR0012,NA,NA,2695,cases
2016_02_04,Puerto_Rico,territory,zika_confirmed_4weeks,PR0001,NA,NA,15,cases
2016_02_04,Puerto_Rico,territory,zika_confirmed_cumulative_2016,PR0003,NA,NA,12,cases
2016_02_04,Puerto_Rico,territory,flavi_confirmed_cumulative_2016,PR0005,NA,NA,0,cases
2016_02_04,Puerto_Rico,territory,zika_confirmed_cumulative_2015-2016,PR0006,NA,NA,21,cases
2016_02_04,Puerto_Rico,territory,zika_confirmed_pregnant_cumulative_2015-2016,PR0007,NA,NA,1,cases
2016_02_04,Puerto_Rico,territory,zika_confirmed_pregnant_symptomatic_cumulative_2015-2016,PR0008,NA,NA,0,cases
2016_02_04,Puerto_Rico,territory,zika_confirmed_pregnant_asymptomatic_cumulative_2015-2016,PR0009,NA,NA,0,cases
2016_02_04,Puerto_Rico,territory,GBS_reported_cumulative_2015-2016,PR0010,NA,NA,0,cases
2016_02_04,Puerto_Rico,territory,arbovirus_suspected_2weeks,PR0011,NA,NA,240,cases
2016_02_04,Puerto_Rico,territory,arbovirus_suspected_cumulative_2016,PR0012,NA,NA,184,cases
2016_02_10,Puerto_Rico,territory,zika_confirmed_4weeks,PR0001,NA,NA,21,cases
2016_02_10,Puerto_Rico,territory,zika_confirmed_cumulative_2016,PR0003,NA,NA,21,cases
2016_02_10,Puerto_Rico,territory,flavi_confirmed_cumulative_2016,PR0005,NA,NA,0,cases
2016_02_10,Puerto_Rico,territory,zika_confirmed_cumulative_2015-2016,PR0006,NA,NA,30,cases
2016_02_10,Puerto_Rico,territory,zika_confirmed_pregnant_cumulative_2015-2016,PR0007,NA,NA,3,cases
2016_02_10,Puerto_Rico,territory,zika_confirmed_pregnant_symptomatic_cumulative_2015-2016,PR0008,NA,NA,0,cases
2016_02_10,Puerto_Rico,territory,zika_confirmed_pregnant_asymptomatic_cumulative_2015-2016,PR0009,NA,NA,0,cases
2016_02_10,Puerto_Rico,territory,GBS_reported_cumulative_2015-2016,PR0010,NA,NA,0,cases
2016_02_10,Puerto_Rico,territory,arbovirus_suspected_4weeks,PR0011,NA,NA,281,cases
2016_02_10,Puerto_Rico,territory,arbovirus_suspected_cumulative_2016,PR0012,NA,NA,281,cases
2016_02_18,Puerto_Rico,territory,zika_confirmed_4weeks,PR0001,NA,NA,50,cases
2016_02_18,Puerto_Rico,territory,zika_confirmed_cumulative_2016,PR0003,NA,NA,54,cases
2016_02_18,Puerto_Rico,territory,flavi_confirmed_cumulative_2016,PR0005,NA,NA,0,cases
2016_02_18,Puerto_Rico,territory,zika_confirmed_cumulative_2015-2016,PR0006,NA,NA,63,cases
2016_02_18,Puerto_Rico,territory,zika_confirmed_pregnant_cumulative_2015-2016,PR0007,NA,NA,3,cases
2016_02_18,Puerto_Rico,territory,zika_confirmed_pregnant_symptomatic_cumulative_2015-2016,PR0008,NA,NA,0,cases
2016_02_18,Puerto_Rico,territory,zika_confirmed_pregnant_asymptomatic_cumulative_2015-2016,PR0009,NA,NA,0,cases
2016_02_18,Puerto_Rico,territory,GBS_reported_cumulative_2015-2016,PR0010,NA,NA,1,cases
2016_02_18,Puerto_Rico,territory,arbovirus_suspected_4weeks,PR0011,NA,NA,749,cases
2016_02_18,Puerto_Rico,territory,arbovirus_suspected_cumulative_2016,PR0012,NA,NA,832,cases
2016_02_24,Puerto_Rico,territory,zika_confirmed_4weeks,PR0001,NA,NA,88,cases
2016_02_24,Puerto_Rico,territory,zika_confirmed_cumulative_2016,PR0003,NA,NA,102,cases
2016_02_24,Puerto_Rico,territory,flavi_confirmed_cumulative_2016,PR0005,NA,NA,0,cases
2016_02_24,Puerto_Rico,territory,zika_confirmed_cumulative_2015-2016,PR0006,NA,NA,117,cases
2016_02_24,Puerto_Rico,territory,zika_confirmed_pregnant_cumulative_2015-2016,PR0007,NA,NA,5,cases
2016_02_24,Puerto_Rico,territory,zika_confirmed_pregnant_symptomatic_cumulative_2015-2016,PR0008,NA,NA,0,cases
2016_02_24,Puerto_Rico,territory,zika_confirmed_pregnant_asymptomatic_cumulative_2015-2016,PR0009,NA,NA,0,cases
